attacker_id,total_events,systems_targeted,targets,address_scope
A0640,187,1,Cowrie,global
A0641,187,1,Cowrie,global
A0642,186,1,Cowrie,global
A0643,185,1,Cowrie,global
A0644,183,1,Cowrie,global
A0645,183,1,Cowrie,global
A0646,181,1,Cowrie,global
A0647,180,1,Cowrie,global
A0648,179,1,Cowrie,global
A0649,177,1,Cowrie,global
A0650,177,1,Cowrie,global
A0651,177,1,Cowrie,global
A0652,177,1,Cowrie,global
A0653,175,1,Cowrie,global
A0654,173,1,Cowrie,global
A0655,173,1,Cowrie,global
A0656,170,1,Cowrie,global
A0657,169,1,Cowrie,global
A0658,169,1,Cowrie,global
A0659,165,1,Cowrie,global
A0660,164,1,Cowrie,global
A0661,157,1,Cowrie,global
A0662,155,1,Cowrie,global
A0663,154,1,Cowrie,global
A0664,154,1,Cowrie,global
A0665,151,1,Cowrie,global
A0666,150,1,Cowrie,global
A0667,149,1,Cowrie,global
A0668,147,1,Cowrie,global
A0669,145,1,Cowrie,global
A0670,145,1,Cowrie,global
A0671,144,1,Cowrie,global
A0672,142,1,Cowrie,global
A0673,141,1,Cowrie,global
A0674,140,1,Cowrie,global
A0675,140,1,Cowrie,global
A0676,139,1,Cowrie,global
A0677,139,1,Cowrie,global
A0678,138,1,Cowrie,global
A0679,137,1,Cowrie,global
A0680,135,1,Cowrie,global
A0681,135,1,Cowrie,global
A0682,134,1,Cowrie,global
A0683,133,1,Cowrie,global
A0684,133,1,Cowrie,global
A0685,133,1,Cowrie,global
A0686,133,1,Cowrie,global
A0687,131,1,Cowrie,global
A0688,131,1,Cowrie,global
A0689,131,1,Cowrie,global
A0690,130,1,Cowrie,global
A0691,130,1,Cowrie,global
A0692,130,1,Cowrie,global
A0693,130,1,Cowrie,global
A0694,130,1,Cowrie,global
A0695,130,1,Cowrie,global
A0696,130,1,Cowrie,global
A0697,130,1,Cowrie,global
A0698,130,1,Cowrie,global
A0699,130,1,Cowrie,global
A0700,130,1,Cowrie,global
A0701,130,1,Cowrie,global
A0702,130,1,Cowrie,global
A0703,130,1,Cowrie,global
A0704,130,1,Cowrie,global
A0705,130,1,Cowrie,global
A0706,130,1,Cowrie,global
A0707,130,1,Cowrie,global
A0708,130,1,Cowrie,global
A0709,130,1,Cowrie,global
A0710,130,1,Cowrie,global
A0711,130,1,Cowrie,global
A0712,130,1,Cowrie,global
A0713,130,1,Cowrie,global
A0714,130,1,Cowrie,global
A0715,130,1,Cowrie,global
A0716,130,1,Cowrie,global
A0717,130,1,Cowrie,global
A0718,130,1,Cowrie,global
A0719,130,1,Cowrie,global
A0720,130,1,Cowrie,global
A0721,130,1,Cowrie,global
A0722,130,1,Cowrie,global
A0723,130,1,Cowrie,global
A0724,130,1,Cowrie,global
A0725,130,1,Cowrie,global
A0726,130,1,Cowrie,global
A0727,130,1,Cowrie,global
A0728,130,1,Cowrie,global
A0729,130,1,Cowrie,global
A0730,130,1,Cowrie,global
A0731,130,1,Cowrie,global
A0732,130,1,Cowrie,global
A0733,130,1,Cowrie,global
A0734,130,1,Cowrie,global
A0735,130,1,Cowrie,global
A0736,130,1,Cowrie,global
A0737,130,1,Cowrie,global
A0738,130,1,Cowrie,global
A0739,130,1,Cowrie,global
A0740,130,1,Cowrie,global
A0741,130,1,Cowrie,global
A0742,130,1,Cowrie,global
A0743,130,1,Cowrie,global
A0744,130,1,Cowrie,global
A0745,130,1,Cowrie,global
A0746,130,1,Cowrie,global
A0747,130,1,Cowrie,global
A0748,130,1,Cowrie,global
A0749,130,1,Cowrie,global
A0750,130,1,Cowrie,global
A0751,130,1,Cowrie,global
A0752,130,1,Cowrie,global
A0753,130,1,Cowrie,global
A0754,130,1,Cowrie,global
A0755,130,1,Cowrie,global
A0756,130,1,Cowrie,global
A0757,130,1,Cowrie,global
A0758,130,1,Cowrie,global
A0759,130,1,Cowrie,global
A0760,130,1,Cowrie,global
A0761,130,1,Cowrie,global
A0762,130,1,Cowrie,global
A0763,130,1,Cowrie,global
A0764,130,1,Cowrie,global
A0765,130,1,Cowrie,global
A0766,130,1,Cowrie,global
A0767,130,1,Cowrie,global
A0768,130,1,Cowrie,global
A0769,130,1,Cowrie,global
A0770,130,1,Cowrie,global
A0771,129,1,Cowrie,global
A0772,129,1,Cowrie,global
A0773,129,1,Cowrie,global
A0774,129,1,Cowrie,global
A0775,129,1,Cowrie,global
A0776,128,1,Cowrie,global
A0777,128,1,Cowrie,global
A0778,128,1,Cowrie,global
A0779,128,1,Cowrie,global
A0780,128,1,Cowrie,global
A0781,127,1,Cowrie,global
A0782,126,1,Cowrie,global
A0783,126,1,Cowrie,global
A0784,125,1,Cowrie,global
A0785,125,1,Cowrie,global
A0786,125,1,Cowrie,global
A0787,125,1,Cowrie,global
A0788,125,1,Cowrie,global
A0789,125,1,Cowrie,global
A0790,125,1,Cowrie,global
A0791,125,1,Cowrie,global
A0792,125,1,Cowrie,global
A0793,125,1,Cowrie,global
A0794,125,1,Cowrie,global
A0795,125,1,Cowrie,global
A0796,125,1,Cowrie,global
